goos: linux
goarch: amd64
pkg: github.com/larsartmann/go-filewatcher/v2
cpu: AMD RYZEN AI MAX+ 395 w/ Radeon 8060S          
BenchmarkNew_SinglePath-32                             	   42298	     27362 ns/op	    4609 B/op	      36 allocs/op
BenchmarkNew_SinglePath-32                             	   46750	     31987 ns/op	    4610 B/op	      36 allocs/op
BenchmarkNew_SinglePath-32                             	   31189	     36616 ns/op	    4610 B/op	      36 allocs/op
BenchmarkNew_SinglePath-32                             	   43747	     28330 ns/op	    4609 B/op	      36 allocs/op
BenchmarkNew_SinglePath-32                             	   47154	     28221 ns/op	    4608 B/op	      36 allocs/op
BenchmarkNew_SinglePath-32                             	   46183	     27756 ns/op	    4608 B/op	      36 allocs/op
BenchmarkNew_WithOptions-32                            	   47334	     27826 ns/op	    5306 B/op	      46 allocs/op
BenchmarkNew_WithOptions-32                            	   46646	     26241 ns/op	    5306 B/op	      46 allocs/op
BenchmarkNew_WithOptions-32                            	   45246	     27389 ns/op	    5307 B/op	      46 allocs/op
BenchmarkNew_WithOptions-32                            	   47014	     32393 ns/op	    5307 B/op	      46 allocs/op
BenchmarkNew_WithOptions-32                            	   47142	     37089 ns/op	    5308 B/op	      46 allocs/op
BenchmarkNew_WithOptions-32                            	   39439	     31271 ns/op	    5309 B/op	      46 allocs/op
BenchmarkNew_WithMiddleware-32                         	   42933	     30736 ns/op	    4676 B/op	      37 allocs/op
BenchmarkNew_WithMiddleware-32                         	   35618	     34616 ns/op	    4678 B/op	      37 allocs/op
BenchmarkNew_WithMiddleware-32                         	   41638	     29498 ns/op	    4676 B/op	      37 allocs/op
BenchmarkNew_WithMiddleware-32                         	   42037	     26898 ns/op	    4675 B/op	      37 allocs/op
BenchmarkNew_WithMiddleware-32                         	   53103	     24552 ns/op	    4674 B/op	      37 allocs/op
BenchmarkNew_WithMiddleware-32                         	   51562	     23569 ns/op	    4674 B/op	      37 allocs/op
BenchmarkConvertEvent_Create-32                        	 1991418	       596.1 ns/op	     416 B/op	       3 allocs/op
BenchmarkConvertEvent_Create-32                        	 2042716	       592.0 ns/op	     416 B/op	       3 allocs/op
BenchmarkConvertEvent_Create-32                        	 1976043	       608.9 ns/op	     416 B/op	       3 allocs/op
BenchmarkConvertEvent_Create-32                        	 1999900	       598.4 ns/op	     416 B/op	       3 allocs/op
BenchmarkConvertEvent_Create-32                        	 1849749	       671.8 ns/op	     416 B/op	       3 allocs/op
BenchmarkConvertEvent_Create-32                        	 1961889	       608.0 ns/op	     416 B/op	       3 allocs/op
BenchmarkConvertEvent_Write-32                         	 1999969	       599.7 ns/op	     416 B/op	       3 allocs/op
BenchmarkConvertEvent_Write-32                         	 2007705	       602.9 ns/op	     416 B/op	       3 allocs/op
BenchmarkConvertEvent_Write-32                         	 1978257	       602.3 ns/op	     416 B/op	       3 allocs/op
BenchmarkConvertEvent_Write-32                         	 2005158	       598.6 ns/op	     416 B/op	       3 allocs/op
